,location,date,temp_max,temp_min,temp_mean,precipitation,dew_point_max,dew_point_min,dew_point_mean,max_wind_speed,visibility,sea_level_pressure
0,KSAN,2019-10-27,69,62,65.75,0.0,64,52,58.94,15,10,29.88
1,KSAN,2019-10-28,75,56,64.75,0.0,53,32,46.0,9,10,29.98
2,KSAN,2019-10-29,70,53,62.54,0.0,57,36,47.54,12,10,29.96
3,KSAN,2019-10-30,78,52,64.08,0.0,54,-2,30.25,9,10,30.11
4,KSAN,2019-10-31,77,47,60.96,0.0,47,6,21.44,12,10,30.12
5,KSAN,2019-11-01,75,49,61.54,0.0,53,10,33.88,10,10,30.07
6,KSAN,2019-11-02,80,51,63.17,0.0,61,19,38.75,9,10,30.06
7,KSAN,2019-11-03,77,48,61.27,0.0,58,18,40.65,13,10,29.99
8,KSAN,2019-11-04,73,49,61.12,0.0,62,27,50.03,10,10,29.98
9,KSAN,2019-11-05,71,51,62.56,0.0,63,46,56.52,10,10,30.01
10,KSAN,2019-11-06,69,58,63.26,0.0,60,56,58.59,9,10,30.02
11,KSAN,2019-11-07,71,61,63.47,0.0,62,58,59.81,12,10,30.1
12,KSAN,2019-11-08,73,58,63.17,0.0,62,52,58.0,12,10,30.09
13,KSAN,2019-11-09,83,56,67.28,0.0,66,38,55.19,10,10,30.0
14,KSAN,2019-11-10,68,62,63.83,0.0,63,57,59.83,9,10,30.01
15,KSAN,2019-11-11,68,57,63.62,0.0,59,55,57.35,9,10,30.03
16,KSAN,2019-11-12,72,58,62.82,0.0,62,56,59.32,12,8,30.07
17,KSAN,2019-11-13,68,58,62.91,0.0,61,56,58.69,10,10,30.02
18,KSAN,2019-11-14,69,57,63.65,0.0,60,55,58.1,14,10,30.11
19,KSAN,2019-11-15,70,60,64.24,0.0,59,56,57.56,14,10,30.1
20,KSAN,2019-11-16,71,56,63.71,0.0,62,53,58.54,12,10,29.99
21,KSAN,2019-11-17,88,55,70.63,0.0,58,29,43.13,8,10,29.95
22,KSAN,2019-11-18,91,58,71.63,0.0,59,31,40.92,10,10,29.9
23,KSAN,2019-11-19,76,60,67.33,0.0,66,43,57.23,16,10,29.76
24,KSAN,2019-11-20,64,59,61.19,0.11,56,47,53.73,18,10,29.76
25,KSAN,2019-11-21,66,57,60.6,0.53,56,51,54.4,12,10,30.06
26,KSAN,2019-11-22,70,52,61.33,0.13,55,47,51.13,12,10,30.14
27,KSAN,2019-11-23,71,52,61.83,0.0,52,44,48.0,9,10,30.12
28,KSAN,2019-11-24,74,53,62.25,0.0,56,40,46.92,10,10,30.09
29,KSAN,2019-11-25,67,50,60.97,0.0,58,43,51.84,12,10,29.96
30,KSAN,2019-11-26,67,53,59.71,0.0,54,37,45.71,10,10,29.92
31,KSAN,2019-11-27,66,54,57.53,0.0,56,32,48.58,16,10,29.79
32,KSAN,2019-11-28,61,53,55.11,0.28,54,45,49.97,22,10,29.68
33,KSAN,2019-11-29,61,50,55.67,1.37,48,39,43.85,16,10,30.07
34,KSAN,2019-11-30,63,52,57.25,0.3,49,41,45.0,8,10,30.18
35,KSAN,2019-12-01,66,49,57.71,0.0,48,37,43.42,8,10,30.12
36,KSAN,2019-12-02,69,51,58.71,0.0,56,44,49.75,7,10,30.14
